ts	phase	decision	why	evidence	result
2026-09-06T08:34:53Z	P2	Compléter le corpus au-delà des listes historiques	Smart Playlists, Listen Later, OPRA, nugs, dossiers et exports ont des sources distinctes	docs/sources.md	84 sources externes ouvertes; 0 comportement applicatif testé
2026-09-06T08:36:44Z	P2	Vérifier la remise documentaire avant revue manager	Contrôler les fichiers réels et conserver la commande rejouable	docs/passations/p2-inventaire.md	195 fonctions; 84 sources externes; 15 familles; 9 Markdown; 76 liens locaux; 0 erreur; aucun test applicatif
2026-09-06T08:37:56Z	P2	Valider le passage P2 vers P3 après revue du coordinateur	Lecture complète inventaire et registre puis sondage sources et contrôle indépendant	docs/passations/p2-inventaire.md	195 fonctions; 84 sources; 15 familles; 76 liens; 0 erreur; commit local autorisé sans push
2026-09-06T08:47:54Z	P3	Comparer trois formes et recommander un service local en monorepo	Conserver autorité bibliothèque et file avec contrôle remplaçable	docs/architecture.md	Recommandation documentaire, alternatives explicites et aucune stack approuvée
2026-09-06T08:47:54Z	P3	Préciser neuf contrats sans implémentation	Préparer scans NAS, identités, reconnexion, audio et restauration	docs/architecture.md	C-01 à C-09 proposés; critères P1-P2 inchangés
2026-09-06T08:47:54Z	P3	Prioriser SQLite, libmpv et Tauri pour les études futures	Donner à P4 un ordre de comparaison et des critères de rejet	docs/faisabilite.md	Huit études proposées; aucun benchmark ni test runtime
2026-09-06T08:47:54Z	P3	Séparer licences M1 et droits fournisseurs conditionnels	Open source et fonctionnement local ne dépendent pas des intégrations M5	docs/sources-techniques.md	Licence utilisateur ouverte, sources TECH distinctes du corpus Roon
2026-09-06T08:47:54Z	P3	Remettre P3 pour revue documentaire	Vérifier références et invariants sans annoncer une faisabilité exécutée	docs/passations/p3-architecture.md	Revue manager en attente; aucun commit, push ou code applicatif
2026-09-06T08:49:22Z	P3	Valider le passage P3 vers P4 après revue du coordinateur	Lecture des quatre documents P3 et exécution indépendante du contrôle intégral	docs/passations/p3-architecture.md	13 Markdown; 112 liens; 19 décisions avant gate; 0 erreur; 30 TECH; 9 contrats; 8 études; commit local autorisé sans push
2026-09-06T09:06:34Z	P4	Structurer six plans et sept milestones en 28 phases futures	Livrer des parcours complets et expliciter les branches indépendantes après M1	docs/roadmap.md	M2 et M3 divergent; zones indépendantes avant synchronisation; aucun produit réalisé
2026-09-06T09:06:34Z	P4	Conserver chaque fonction et sa disposition dans une couverture canonique	Éviter déplacements silencieux et perte des cas spécifiques P2	docs/couverture.tsv	195 fonctions uniques; milestones et dispositions inchangées; 50 scénarios futurs
2026-09-06T09:06:34Z	P4	Placer corpus cible et preuves audio précises avant sortie M1	Une petite fixture ne démontre ni 20 000 albums ni la chaîne physique	docs/validation.md	NAS et environ 3 To dès M1; captures délimitées; budgets proposés sans baseline
2026-09-06T09:06:34Z	P4	Remettre P4 sans commit avant revue du coordinateur	Maintenir la séparation entre rédaction, validation manager et autorisation de développement	docs/passations/p4-multiplan.md	Contrôle documentaire exécuté; revue manager attendue; aucun code applicatif ni push
2026-09-06T09:10:16Z	P4	Valider le passage P4 vers P5 après revue du coordinateur	Lecture intégrale des livrables et exécution indépendante du contrôle; deux retouches éditoriales intégrées	docs/passations/p4-multiplan.md	29 Markdown; 628 liens; 24 décisions avant gate; 0 erreur; 6 plans; 7 milestones; 28 phases; 50 scénarios; 195 cas conservés; commit local autorisé sans push
2026-09-06T09:18:14Z	P5	Revoir les 20 chaînes usages et MVP indépendamment	Vérifier le sens des contrats et preuves en plus des comptes	docs/revue-finale.md	Aucun obligatoire perdu; NAS et 20 000 albums dès M1; aucune preuve produit exécutée
2026-09-06T09:18:14Z	P5	Clarifier retenu_provisoire sans modifier le registre	Le coordinateur a accepté la clarification de F12-013 en M1	docs/revue-finale.md	Ambiguïté traitée; admission provisoire distincte de la milestone; fichiers P1-P4 inchangés
2026-09-06T09:18:14Z	P5	Consolider les neuf décisions ouvertes sans les adopter	Rendre responsables, informations manquantes et effets lisibles après la revue	docs/decisions-ouvertes.md	O-01 à O-09 ouvertes; licence, stack, comportements et budgets non choisis
2026-09-06T09:18:14Z	P5	Vérifier le dossier final avant remise au coordinateur	Contrôler fichiers réels, chaînes, préservation et contenu publiable	docs/passations/p5-revue.md	32 Markdown; 755 liens; 25 décisions avant ajout P5; 0 erreur; 20 chaînes; 35 fichiers documentaires; aucun marqueur ciblé
2026-09-06T09:19:23Z	P5	Valider P5 après revue indépendante du coordinateur	Lecture intégrale des livrables et exécution du contrôle P5 complet	docs/passations/p5-revue.md	32 Markdown; 755 liens; 29 décisions avant gate; 0 erreur; 20 chaînes; neuf décisions ouvertes; commit local autorisé sans push
