id	domaine	fonction	comportement_reference	statut_preuve	date_preuve	sources	portee_reference	responsable_kuro	disposition	milestone	validation_future
F04-009	D04	Focus négatif	Exclusion d’un critère	documente	2026-09-06	SRC-204	serveur_desktop	desktop	retenu_provisoire	M2	Exclure un format et comparer les résultats
F04-010	D04	Navigation historique	Retour et avance entre vues	documente	2026-09-06	SRC-011	serveur_desktop	desktop	socle	M1	Revenir à une recherche puis avancer à l’album
F04-011	D04	Vues classiques	Œuvres et compositeurs consultables	documente	2026-09-06	SRC-213;SRC-214	serveur_desktop	desktop	retenu_provisoire	M2	Ouvrir les interprétations d’une œuvre depuis son compositeur
F04-012	D04	Versions et emplacements	Comparaison des éditions	documente	2026-09-06	SRC-212	serveur_desktop	desktop	retenu_provisoire	M2	Identifier format et emplacement de deux versions
F04-013	D04	Sélection multiple	Commandes appliquées à la sélection	documente	2026-09-06	SRC-004;SRC-007	serveur_desktop	desktop	socle	M1	Sélectionner trois pistes et vérifier les seules pistes ajoutées
F04-014	D04	Navigation par dossiers	Sous-dossiers et lecture récursive	documente	2026-09-06	SRC-019	serveur_desktop	desktop	retenu_provisoire	M2	Lire un sous-dossier et comparer les pistes incluses
F04-015	D04	Pochettes locales	Images issues des fichiers	documente	2026-09-06	SRC-002;SRC-018	serveur_desktop	desktop	proposition	M1	Afficher les images locales et une absence de pochette sans Internet
F05-001	D05	Création de playlist	Albums ou pistes ajoutables	documente	2026-09-06	SRC-206	serveur_desktop	serveur_bibliotheque	socle	M1	Créer une playlist et comparer les identités et l’ordre
F05-002	D05	Édition de playlist	Retrait et réordre des pistes	documente	2026-09-06	SRC-206	serveur_desktop	serveur_bibliotheque	socle	M1	Déplacer puis retirer une piste sans supprimer son fichier
F05-003	D05	Gestion de playlist	Renommage et suppression	documente	2026-09-06	SRC-206	serveur_desktop	serveur_bibliotheque	socle	M1	Renommer puis supprimer une playlist locale
F05-004	D05	Doublons en playlist	Avertissement et ajout sélectif	documente	2026-09-06	SRC-206	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Ajouter deux fois la même sélection et choisir les nouveaux titres
F05-005	D05	Dossiers de playlists	Classement et déplacement	documente	2026-09-06	SRC-206	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Déplacer une playlist entre deux dossiers
F05-006	D05	Copie de playlist	Copie locale distincte	documente	2026-09-06	SRC-015;SRC-206	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Modifier une copie sans changer la source
F05-007	D05	Favoris personnels	Favoris par profil	documente	2026-09-06	SRC-010	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Marquer un album et retrouver le favori du profil
F05-008	D05	Profils	Création et changement	documente	2026-09-06	SRC-010	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Changer de profil et conserver la bibliothèque commune
F05-009	D05	Historique personnel	Écoutes par profil	documente	2026-09-06	SRC-010	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Lire une piste et retrouver son écoute au bon profil
F05-010	D05	Tags d’objets	Albums, personnes, œuvres et tags	documente	2026-09-06	SRC-009	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Taguer des objets de types différents et les retrouver
F05-011	D05	Tags par lot	Ajout à plusieurs objets	documente	2026-09-06	SRC-009	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Taguer une sélection puis comparer ses membres
F05-012	D05	Portée des tags	Partagés ou propres au profil	documente	2026-09-06	SRC-009	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Changer de profil et constater la visibilité attendue
F05-013	D05	Import des tags Roon	ROONALBUMTAG et ROONTRACKTAG	documente	2026-09-06	SRC-009	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Importer ces champs sans modifier les fichiers
F05-014	D05	Bookmarks	Vue et Focus sauvegardés	documente	2026-09-06	SRC-204	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Rouvrir un bookmark et vérifier ses critères
F05-015	D05	Gestion des bookmarks	Renommage, ordre et suppression	documente	2026-09-06	SRC-204	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Réordonner les bookmarks puis rouvrir le bon
F05-016	D05	Smart Playlists	Résultats dynamiques de Focus	documente	2026-09-06	SRC-205	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Ajouter un album éligible et constater l’actualisation
F05-017	D05	Règles Smart Playlists	Correspondance any/all et exclusions	documente	2026-09-06	SRC-205	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Comparer critères conjoints et alternatifs sur un même corpus
F05-018	D05	Bans	Exclusion des automatismes	documente	2026-09-06	SRC-209	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Bannir puis vérifier les automatismes et la lecture directe séparément
F05-019	D05	Recherche des bans	Retrouvables via Focus	documente	2026-09-06	SRC-209	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Retrouver puis débannir un objet exclu
F05-020	D05	Dossiers favoris	Raccourcis vers sous-dossiers	documente	2026-09-06	SRC-019	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Marquer un dossier et le retrouver en tête
F05-021	D05	Export des médias	Copie avec métadonnées Roon	documente	2026-09-06	SRC-007	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Comparer tags de la copie et empreintes des sources
F05-022	D05	Export M3U	Playlist avec références de fichiers	documente	2026-09-06	SRC-007	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Rouvrir l’export dans un lecteur indépendant
F05-023	D05	Export de catalogue	Tableur ou CSV Soundiiz	documente	2026-09-06	SRC-007	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Comparer identités, ordre et champs exportés
F06-001	D06	Transport	Lecture, pause, arrêt, précédent, suivant	documente	2026-09-06	SRC-011	serveur_desktop	serveur_lecture	socle	M1	Exécuter chaque commande et comparer piste et position
F06-002	D06	Lecture d’une sélection	Départ depuis piste ou sélection	documente	2026-09-06	SRC-206;SRC-218	serveur_desktop	serveur_lecture	socle	M1	Lancer au milieu d’une playlist et vérifier la suite
F06-003	D06	File visible	Piste courante et morceaux suivants	documente	2026-09-06	SRC-218	serveur_desktop	serveur_lecture	socle	M1	Comparer la file affichée à la séquence entendue
F06-004	D06	Réordre de file	Déplacement d’un élément	documente	2026-09-06	SRC-218	serveur_desktop	serveur_lecture	socle	M1	Déplacer une piste et vérifier le prochain morceau
F06-005	D06	Retrait de file	Suppression d’un élément	documente	2026-09-06	SRC-218	serveur_desktop	serveur_lecture	socle	M1	Retirer une piste future sans interrompre la courante
F06-006	D06	Vidage de file	Prochains ou ensemble	documente	2026-09-06	SRC-218	serveur_desktop	serveur_lecture	socle	M1	Vider les prochains puis vérifier l’état courant
F06-007	D06	Lecture aléatoire	Shuffle de la file	documente	2026-09-06	SRC-218	serveur_desktop	serveur_lecture	socle	M1	Vérifier appartenance des pistes jouées et fin de cycle
F06-008	D06	Répétition	Boucle de la file	documente	2026-09-06	SRC-218	serveur_desktop	serveur_lecture	socle	M1	Atteindre la fin et constater le retour attendu
F06-009	D06	Historique de session	Passé conservé dans la file	documente	2026-09-06	SRC-218	serveur_desktop	serveur_lecture	socle	M1	Revenir à une piste déjà jouée pendant la session
F06-010	D06	File vers playlist	Enregistrement de tout ou partie	documente	2026-09-06	SRC-218	serveur_desktop	serveur_lecture	socle	M1	Sauver les prochains morceaux et comparer la playlist
F06-011	D06	File vers tag ou export	Réutilisation de la sélection	documente	2026-09-06	SRC-218	serveur_desktop	serveur_lecture	retenu_provisoire	M2	Exporter une portion choisie sans les autres pistes
F06-012	D06	Fondu enchaîné	Crossfade réglable par zone	documente	2026-09-06	SRC-124	serveur_desktop	serveur_lecture	retenu_provisoire	M3	Mesurer le chevauchement sur un corpus de test
F06-013	D06	Gapless	Enchaînement exact à observer	exigence_kuro	2026-09-06	INT-P1	serveur_desktop	serveur_lecture	socle	M1	Mesurer et écouter les jonctions sur chaque format retenu
F06-014	D06	Position dans la piste	Recherche temporelle à observer	a_observer	2026-09-06	INT-P1	serveur_desktop	serveur_lecture	proposition	M1	Aller à une position puis comparer horodatage et son
F07-001	D07	Sortie locale	DAC USB ou carte son	documente	2026-09-06	SRC-001;SRC-106	serveur_sortie	sortie_audio	socle	M1	Lire une piste sur la sortie locale désignée
F07-002	D07	Activation de sortie	Appareil activé comme zone	documente	2026-09-06	SRC-106	serveur_sortie	sortie_audio	socle	M1	Activer une sortie et vérifier qu’elle devient sélectionnable
F07-003	D07	Identification de DAC	Détection ou choix manuel	documente	2026-09-06	SRC-106	serveur_sortie	sortie_audio	retenu_provisoire	M3	Comparer le modèle reconnu au matériel réel
F07-004	D07	Mode exclusif	Contrôle exclusif du périphérique	documente	2026-09-06	SRC-106;SRC-107	serveur_sortie	sortie_audio	retenu_provisoire	M3	Observer les accès concurrents et le format de sortie
F07-005	D07	Volume matériel	Commandes transmises au pilote	documente	2026-09-06	SRC-106	serveur_sortie	sortie_audio	socle	M1	Changer le volume et comparer l’état matériel
F07-006	D07	Volume fixe	Contrôle interne désactivé	documente	2026-09-06	SRC-106	serveur_sortie	sortie_audio	retenu_provisoire	M3	Vérifier niveau et absence de réglage dans le contrôle
F07-007	D07	Volume logiciel	Atténuation numérique DSP	documente	2026-09-06	SRC-106	serveur_sortie	sortie_audio	retenu_provisoire	M3	Mesurer l’atténuation demandée sur un signal de test
F07-008	D07	Stratégie DSD	Natif, DoP ou PCM selon sortie	documente	2026-09-06	SRC-106;SRC-109	serveur_sortie	sortie_audio	retenu_provisoire	M3	Tester les stratégies avec un DAC et des fichiers identifiés
F07-009	D07	Limites de sortie	Plafonds PCM et DSD réglables	documente	2026-09-06	SRC-106	serveur_sortie	sortie_audio	retenu_provisoire	M3	Demander un format supérieur et constater l’adaptation
F07-010	D07	Multicanal	Lecture et adaptation des canaux	documente	2026-09-06	SRC-108	serveur_sortie	sortie_audio	retenu_provisoire	M3	Identifier chaque canal d’un fichier de test
F07-011	D07	Délai de resynchronisation	Silence avant nouveau flux	documente	2026-09-06	SRC-106	serveur_sortie	sortie_audio	retenu_provisoire	M3	Changer de fréquence et mesurer le début audible
F07-012	D07	Signal Path	Chaîne audio et traitements affichés	documente	2026-09-06	SRC-110	serveur_sortie	sortie_audio	retenu_provisoire	M3	Comparer chaque étape affichée aux réglages appliqués
F07-013	D07	Décodage MQA	Documentation historique contradictoire	contradictoire	2026-09-06	SRC-114;SRC-137	serveur_sortie	sortie_audio	conditionnel	M5	Vérifier disponibilité et droits avant toute cible de parité
F08-001	D08	Analyse de loudness	Niveau calculé par analyse	documente	2026-09-06	SRC-105	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Comparer le résultat d’un corpus aux valeurs de référence
F08-002	D08	Forme d’onde et dynamique	Résultats de l’analyse audio	documente	2026-09-06	SRC-105	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Comparer affichage et sections silencieuses connues
F08-003	D08	Corruption audio	Détection à l’analyse	documente	2026-09-06	SRC-105	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Analyser un fichier volontairement endommagé
F08-004	D08	Normalisation de volume	Modes piste et album	documente	2026-09-06	SRC-111	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Comparer continuité intra-album et niveaux entre albums
F08-005	D08	Import ReplayGain	Priorité configurable aux tags	documente	2026-09-06	SRC-006	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Comparer gain des tags et gain d’analyse selon le réglage
F08-006	D08	Chaîne MUSE	Traitements indépendants par zone	documente	2026-09-06	SRC-112	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Comparer deux chaînes enregistrées et leurs sorties
F08-007	D08	Ordre et bypass	Filtres ordonnables et désactivables	documente	2026-09-06	SRC-112	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Inverser deux filtres puis mesurer l’effet et le bypass
F08-008	D08	Marge numérique	Headroom et indicateur d’écrêtage	documente	2026-09-06	SRC-113	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Provoquer un dépassement contrôlé puis le corriger
F08-009	D08	Conversion de fréquence	Choix de fréquence de sortie	documente	2026-09-06	SRC-114	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Mesurer la fréquence après conversion
F08-010	D08	Conversion PCM vers DSD	Suréchantillonnage DSD	documente	2026-09-06	SRC-114	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Vérifier le flux obtenu sur une sortie compatible
F08-011	D08	Égaliseur paramétrique	Fréquence, gain, Q et type	documente	2026-09-06	SRC-115	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Comparer la réponse mesurée au filtre choisi
F08-012	D08	Égaliseur procédural	Filtres et mixage ordonnés par canal	documente	2026-09-06	SRC-116	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Appliquer délai, inversion et mixage à des canaux identifiés
F08-013	D08	Crossfeed	Mélange entre canaux casque	documente	2026-09-06	SRC-117	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Mesurer le signal transféré au canal opposé
F08-014	D08	Convolution	Filtres par fréquence et canaux	documente	2026-09-06	SRC-118	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Comparer l’impulsion produite au filtre chargé
F08-015	D08	Profils Audeze	Corrections et modes de latence	documente	2026-09-06	SRC-119	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Sélectionner un modèle puis comparer les deux modes
F08-016	D08	Profils OPRA	Casque recherché et PEQ exportable	documente	2026-09-06	SRC-121	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Choisir un casque puis inspecter le PEQ éditable
F08-017	D08	Réglage des enceintes	Gain et délai par enceinte	documente	2026-09-06	SRC-120	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Mesurer gain et retard de chaque canal
F08-018	D08	Vitesse de traitement	Indicateur de marge de calcul	documente	2026-09-06	SRC-112	serveur_sortie	serveur_lecture	retenu_provisoire	M3	Comparer l’indicateur au maintien d’une lecture continue
F09-001	D09	Contrôleurs multiples	État partagé entre contrôles	documente	2026-09-06	SRC-001	serveur_controle_sortie	coordination_reseau	retenu_provisoire	M4	Modifier la file depuis deux contrôles et comparer leur état
F09-002	D09	Zones indépendantes	File propre à chaque zone	documente	2026-09-06	SRC-001;SRC-124	serveur_controle_sortie	coordination_reseau	retenu_provisoire	M4	Lire deux programmes différents simultanément
F09-003	D09	Transfert de lecture	Piste et file déplacées de zone	documente	2026-09-06	SRC-124	serveur_controle_sortie	coordination_reseau	retenu_provisoire	M4	Transférer une lecture et comparer position et file
F09-004	D09	Groupement de zones	Synchronisation entre types compatibles	documente	2026-09-06	SRC-124;SRC-125	serveur_controle_sortie	coordination_reseau	retenu_provisoire	M4	Grouper deux sorties compatibles et mesurer leur décalage
F09-005	D09	Dissociation de groupe	Retrait individuel ou total	documente	2026-09-06	SRC-124	serveur_controle_sortie	coordination_reseau	retenu_provisoire	M4	Retirer une sortie et vérifier les zones restantes
F09-006	D09	Zones privées	Visibles seulement localement	documente	2026-09-06	SRC-106;SRC-124	serveur_controle_sortie	coordination_reseau	retenu_provisoire	M4	Vérifier qu’un autre contrôleur ne voit pas la zone privée
F09-007	D09	Endpoint Bridge	Sorties d’un ordinateur exposées	documente	2026-09-06	SRC-127	serveur_controle_sortie	coordination_reseau	retenu_provisoire	M4	Découvrir un endpoint puis y lire une piste
F09-008	D09	Roon Ready et RAAT	Transport et certification Roon	documente	2026-09-06	SRC-123	serveur_controle_sortie	coordination_reseau	conditionnel	M4	Établir accès et droits avant essai sur matériel
F09-009	D09	Autres protocoles audio	AirPlay, Squeezebox, Meridian	documente	2026-09-06	SRC-001;SRC-124	serveur_controle_sortie	coordination_reseau	conditionnel	M4	Tester chaque protocole retenu sur matériel identifié
F09-010	D09	Sonos et KEF	Zones spécifiques documentées	documente	2026-09-06	SRC-124	serveur_controle_sortie	coordination_reseau	conditionnel	M4	Vérifier support et groupement par modèle
F09-011	D09	Chromecast	Audio et groupe Google Home	documente	2026-09-06	SRC-126	serveur_controle_sortie	coordination_reseau	conditionnel	M4	Lire sur un groupe configuré par le système externe
F09-012	D09	Commandes matérielles	Transport, volume et source intégrés	documente	2026-09-06	SRC-123	serveur_controle_sortie	coordination_reseau	retenu_provisoire	M4	Commander depuis l’appareil et observer le contrôle
F09-013	D09	Displays	Affichage externe web ou Chromecast	documente	2026-09-06	SRC-217	serveur_controle_sortie	coordination_reseau	retenu_provisoire	M4	Afficher le titre courant et suivre le changement de piste
F09-014	D09	HQPlayer	Flux confié à HQPlayer	documente	2026-09-06	SRC-021	serveur_controle_sortie	integrations	conditionnel	M5	Vérifier transport et sortie avec une instance autorisée
F09-015	D09	Devialet AIR	Sortie via protocole AIR	documente	2026-09-06	SRC-022	serveur_controle_sortie	coordination_reseau	conditionnel	M4	Tester le modèle retenu et documenter ses limites
